order_item_id,order_id,product_id,quantity,unit_price,discount
1,100001,102,4,61.01,0.15
2,100001,947,1,412.31,0.05
3,100002,952,2,395.69,0.1
4,100003,907,4,171.8,0.05
5,100003,525,1,73.58,0.05
6,100004,597,2,157.2,0.0
7,100005,740,3,48.09,0.1
8,100006,29,2,160.89,0.0
9,100006,578,4,197.82,0.0
10,100006,1005,1,225.58,0.0
11,100007,339,4,38.36,0.0
12,100008,1142,2,208.89,0.0
13,100009,477,2,39.63,0.0
14,100009,102,4,68.19,0.05
15,100010,773,4,24.29,0.0
16,100011,751,1,53.85,0.0
17,100011,313,1,210.59,0.1
18,100012,204,2,17.79,0.1
19,100013,755,1,886.76,0.0
20,100014,91,4,124.02,0.0
21,100014,11,3,158.14,0.05
22,100015,348,2,212.56,0.0
23,100015,258,2,48.05,0.05
24,100016,299,1,1204.07,0.0
25,100016,1015,2,187.73,0.0
26,100017,1007,3,405.72,0.05
27,100018,1153,4,65.05,0.0
28,100019,950,2,116.45,0.1
29,100020,1181,1,92.45,0.0
30,100021,218,1,43.61,0.1
31,100021,127,2,1189.22,0.0
32,100021,1132,2,146.96,0.0
33,100022,708,3,121.68,0.0
34,100022,996,1,484.74,0.1
35,100023,697,3,9.84,0.05
36,100023,557,3,118.8,0.0
37,100024,285,2,1072.96,0.0
38,100025,370,1,12.75,0.05
39,100026,453,4,427.72,0.0
40,100027,592,1,22.63,0.1
41,100027,1019,3,57.78,0.05
42,100027,535,2,91.66,0.1
43,100028,181,3,145.1,0.15
44,100029,313,4,233.99,0.0
45,100030,897,4,27.03,0.0
46,100030,1111,2,279.84,0.15
47,100031,139,4,1310.23,0.0
48,100031,506,1,94.72,0.15
49,100032,204,3,18.78,0.05
50,100033,814,1,54.45,0.0
51,100034,133,4,47.41,0.15
52,100034,754,2,113.27,0.0
53,100034,745,1,1114.09,0.1
54,100035,607,3,126.0,0.0
55,100036,472,3,162.33,0.0
56,100037,69,1,93.81,0.1
57,100038,95,2,157.75,0.0
58,100038,774,3,278.7,0.0
59,100038,654,4,43.24,0.1
60,100039,328,4,22.28,0.0
61,100040,707,3,193.85,0.15
62,100040,402,4,477.77,0.0
63,100040,900,1,90.5,0.0
64,100041,1051,2,59.82,0.0
65,100041,97,1,122.46,0.15
66,100042,522,2,130.91,0.0
67,100042,613,4,204.19,0.1
68,100042,297,4,365.7,0.15
69,100042,219,4,31.21,0.05
70,100043,125,4,8.98,0.0
71,100043,884,2,133.82,0.0
72,100044,1143,2,353.92,0.05
73,100045,390,4,287.25,0.0
74,100045,1178,1,163.17,0.0
75,100045,467,2,35.37,0.15
76,100045,636,4,74.37,0.0
77,100046,589,2,35.7,0.0
78,100047,79,3,1270.18,0.15
79,100048,515,4,171.38,0.1
80,100048,420,2,53.76,0.05
81,100048,695,4,49.86,0.0
82,100049,254,1,171.19,0.0
83,100050,780,3,725.62,0.0
84,100051,349,3,196.0,0.1
85,100051,148,2,607.6,0.05
86,100052,781,2,123.4,0.15
87,100052,132,3,149.59,0.0
88,100053,819,1,50.9,0.0
89,100053,126,2,313.46,0.1
90,100054,573,3,154.56,0.15
91,100054,154,1,84.53,0.0
92,100054,941,1,71.32,0.0
93,100055,582,2,280.64,0.05
94,100055,484,1,44.53,0.15
95,100056,557,1,118.8,0.0
96,100056,458,4,44.71,0.15
97,100056,745,3,1052.2,0.15
98,100057,1171,4,328.97,0.0
99,100057,736,2,1099.16,0.15
100,100057,850,4,567.83,0.0
101,100057,399,3,1022.52,0.0
102,100058,612,3,181.19,0.05
103,100059,1010,4,178.84,0.1
104,100059,522,3,130.91,0.0
105,100059,820,2,370.46,0.0
106,100060,915,1,66.15,0.0
107,100060,968,4,239.71,0.0
108,100060,778,3,213.46,0.05
109,100061,208,1,34.89,0.0
110,100062,1138,3,97.59,0.0
111,100062,427,3,259.83,0.0
112,100062,188,1,48.16,0.1
113,100062,921,1,255.05,0.05
114,100063,657,2,29.26,0.0
115,100064,151,4,99.9,0.0
116,100065,173,2,6.47,0.15
117,100066,127,3,1189.22,0.0
118,100067,770,4,18.41,0.0
119,100067,537,4,60.72,0.0
120,100068,506,4,111.43,0.0
121,100068,790,1,14.65,0.05
122,100069,353,4,34.72,0.0
123,100069,720,3,129.32,0.1
124,100070,643,4,302.37,0.05
125,100071,985,3,542.87,0.0
126,100071,1028,3,115.8,0.1
127,100071,151,3,99.9,0.0
128,100071,280,4,36.57,0.0
129,100072,1069,4,206.24,0.05
130,100073,394,1,330.45,0.1
131,100073,461,4,117.74,0.0
132,100074,593,2,9.26,0.05
133,100074,645,4,58.3,0.0
134,100074,974,3,198.68,0.0
135,100075,10,4,63.8,0.0
136,100075,2,2,224.7,0.1
137,100076,908,1,326.92,0.0
138,100077,55,1,173.58,0.05
139,100078,538,2,65.55,0.0
140,100079,934,2,267.11,0.0
141,100080,287,2,196.1,0.0
142,100080,1147,2,101.13,0.0
143,100080,1023,1,56.05,0.05
144,100081,252,2,448.09,0.0
145,100081,453,4,384.95,0.1
146,100082,1184,1,173.55,0.0
147,100082,264,3,78.33,0.0
148,100083,21,1,16.66,0.05
149,100084,981,3,150.46,0.0
150,100085,285,4,965.66,0.1
151,100085,249,3,54.2,0.1
152,100086,606,2,525.98,0.0
153,100087,806,1,1154.44,0.15
154,100088,275,1,148.73,0.0
155,100088,810,1,170.32,0.0
156,100089,202,2,17.97,0.05
157,100089,1194,3,47.52,0.0
158,100090,876,3,41.65,0.0
159,100091,1030,1,308.9,0.0
160,100091,374,1,93.73,0.0
161,100092,803,4,735.09,0.1
162,100092,92,3,298.07,0.0
163,100092,505,3,10.98,0.0
164,100093,726,2,469.31,0.0
165,100093,260,2,140.06,0.0
166,100094,950,2,116.45,0.1
167,100095,11,4,158.14,0.05
168,100096,628,3,82.21,0.05
169,100096,926,2,80.83,0.0
170,100097,441,4,271.07,0.0
171,100097,427,2,259.83,0.0
172,100098,1034,1,75.22,0.0
173,100098,77,2,8.04,0.0
174,100098,327,4,113.75,0.1
175,100099,115,2,65.91,0.05
176,100099,396,4,20.5,0.0
177,100100,1055,3,384.51,0.0
178,100101,9,3,61.53,0.0
179,100102,1149,4,58.46,0.0
180,100103,755,4,886.76,0.0
181,100103,151,4,94.91,0.05
182,100103,384,3,84.42,0.0
183,100104,650,2,517.33,0.0
184,100104,421,2,24.61,0.05
185,100104,293,2,61.95,0.05
186,100105,712,4,296.87,0.1
187,100106,502,4,134.34,0.0
188,100107,892,2,54.78,0.0
189,100108,1125,4,22.63,0.0
190,100108,458,2,52.6,0.0
191,100109,112,3,174.62,0.0
192,100109,666,3,163.49,0.05
193,100110,1071,4,179.17,0.05
194,100111,698,1,77.92,0.0
195,100112,739,4,65.2,0.0
196,100112,1,3,28.35,0.0
197,100113,315,3,568.19,0.0
198,100113,653,1,125.26,0.1
199,100114,1091,3,170.17,0.05
200,100115,874,1,60.55,0.15
201,100116,209,3,13.19,0.0
202,100117,144,3,142.62,0.0
203,100118,1195,3,316.24,0.0
204,100118,936,4,178.32,0.0
205,100119,433,4,1129.68,0.0
206,100120,135,4,7.67,0.0
207,100120,889,1,42.51,0.0
208,100121,553,1,113.43,0.05
209,100121,1083,1,562.54,0.0
210,100122,96,1,127.79,0.0
211,100122,425,4,67.71,0.1
212,100123,164,4,523.68,0.1
213,100124,1109,2,20.65,0.0
214,100125,839,3,187.57,0.0
215,100126,307,3,26.42,0.0
216,100126,435,4,50.73,0.1
217,100127,1057,2,942.49,0.0
218,100127,364,4,29.27,0.05
219,100128,565,1,241.92,0.0
220,100129,304,3,25.98,0.1
221,100130,340,2,161.47,0.0
222,100131,365,3,7.4,0.05
223,100131,850,3,539.44,0.05
224,100132,967,3,124.2,0.05
225,100133,622,3,118.4,0.0
226,100134,771,4,188.25,0.0
227,100135,522,2,124.36,0.05
228,100136,731,2,68.89,0.0
229,100137,1000,1,12.64,0.0
230,100137,500,1,6.21,0.05
231,100138,575,2,79.1,0.0
232,100139,795,2,55.94,0.05
233,100139,96,3,115.01,0.1
234,100139,230,3,167.68,0.1
235,100140,868,2,135.35,0.1
236,100141,101,2,67.44,0.05
237,100142,1081,2,152.48,0.1
238,100143,1140,1,137.96,0.0
239,100143,751,2,48.47,0.1
240,100144,880,1,22.06,0.1
241,100144,785,4,284.77,0.0
242,100145,98,2,69.82,0.0
243,100145,292,4,65.84,0.0
244,100146,57,3,131.35,0.0
