order_id,customer_id,order_date,channel,status
100001,1127,2025-09-28,Mobile App,Completed
100002,1032,2023-09-04,Web,Completed
100003,21,2025-04-23,Marketplace,Completed
100004,1773,2024-08-03,Marketplace,Completed
100005,1290,2024-08-25,Web,Completed
100006,692,2025-06-26,Marketplace,Completed
100007,156,2024-10-03,Mobile App,Completed
100008,1000,2025-06-11,Mobile App,Returned
100009,1471,2023-04-03,Web,Completed
100010,1757,2024-11-19,Marketplace,Completed
100011,1459,2024-01-27,Web,Completed
100012,547,2024-11-01,Mobile App,Completed
100013,913,2025-10-20,Web,Completed
100014,847,2024-10-24,Web,Completed
100015,1244,2023-01-12,Web,Cancelled
100016,962,2025-06-19,Web,Completed
100017,166,2024-12-04,Mobile App,Completed
100018,1482,2023-02-23,Web,Completed
100019,718,2025-04-23,Mobile App,Completed
100020,243,2023-11-26,Mobile App,Completed
100021,985,2024-06-01,Mobile App,Completed
100022,1494,2023-10-30,Web,Completed
100023,532,2025-01-17,Marketplace,Completed
100024,1286,2024-11-13,Mobile App,Cancelled
100025,1119,2023-01-12,Web,Completed
100026,89,2024-07-15,Mobile App,Completed
100027,1205,2024-03-11,Mobile App,Completed
100028,1227,2025-03-09,Web,Completed
100029,1047,2024-05-19,Mobile App,Cancelled
100030,1614,2025-11-03,Web,Completed
100031,1301,2023-04-14,Web,Returned
100032,1572,2024-01-29,Mobile App,Completed
100033,1342,2024-09-14,Mobile App,Completed
100034,1658,2024-12-08,Web,Completed
100035,1989,2025-11-21,Web,Cancelled
100036,283,2024-09-09,Web,Completed
100037,470,2025-04-23,Web,Completed
100038,892,2024-07-25,Mobile App,Completed
100039,1856,2024-12-12,Web,Returned
100040,946,2025-05-19,Mobile App,Returned
100041,1918,2024-10-02,Web,Returned
100042,1060,2023-02-20,Web,Completed
100043,352,2024-12-14,Web,Completed
100044,1519,2023-08-28,Web,Completed
100045,1513,2025-06-17,Mobile App,Completed
100046,991,2023-05-15,Web,Completed
100047,1197,2023-08-03,Mobile App,Completed
100048,1163,2025-04-21,Mobile App,Completed
100049,111,2023-07-30,Web,Completed
100050,1143,2025-06-21,Web,Completed
100051,1625,2025-12-02,Web,Completed
100052,1612,2025-08-19,Marketplace,Cancelled
100053,56,2025-02-25,Mobile App,Completed
100054,853,2024-09-17,Web,Completed
100055,1137,2023-10-19,Web,Returned
100056,255,2023-12-19,Mobile App,Completed
100057,999,2023-05-20,Web,Returned
100058,368,2024-02-04,Web,Completed
100059,352,2025-12-17,Web,Completed
100060,45,2024-02-12,Web,Completed
100061,1680,2024-05-31,Web,Completed
100062,1727,2024-07-30,Mobile App,Completed
100063,552,2024-09-03,Web,Completed
100064,197,2025-02-02,Web,Completed
100065,1351,2024-10-04,Web,Completed
100066,901,2023-08-25,Mobile App,Cancelled
100067,1444,2025-06-10,Web,Completed
100068,1540,2025-03-24,Marketplace,Cancelled
100069,328,2023-04-13,Marketplace,Completed
100070,1244,2024-11-11,Web,Completed
100071,1306,2025-12-10,Web,Completed
100072,1278,2023-04-13,Mobile App,Completed
100073,1908,2024-02-16,Web,Completed
100074,393,2025-03-15,Web,Completed
100075,364,2024-01-06,Web,Completed
100076,1326,2024-09-27,Web,Completed
100077,1468,2025-11-25,Web,Completed
100078,340,2025-06-10,Web,Cancelled
100079,767,2024-02-01,Web,Returned
100080,257,2025-11-09,Web,Completed
100081,813,2024-02-21,Web,Completed
100082,1408,2024-09-06,Web,Completed
100083,374,2025-07-13,Web,Completed
100084,1411,2024-05-06,Mobile App,Cancelled
100085,1974,2024-03-19,Mobile App,Completed
100086,621,2025-01-16,Mobile App,Completed
100087,148,2025-03-27,Marketplace,Completed
100088,1742,2024-04-07,Mobile App,Completed
100089,817,2024-11-15,Web,Completed
100090,1781,2023-06-12,Web,Completed
100091,1808,2024-02-16,Web,Completed
100092,818,2025-01-15,Mobile App,Completed
100093,1493,2025-06-16,Web,Completed
100094,1929,2024-01-01,Web,Cancelled
100095,670,2025-05-08,Web,Completed
100096,99,2024-03-18,Web,Completed
100097,206,2025-12-28,Mobile App,Completed
100098,901,2023-08-02,Web,Completed
100099,784,2025-11-24,Web,Completed
100100,1719,2025-01-28,Mobile App,Completed
100101,240,2025-05-22,Web,Completed
100102,1290,2025-04-13,Web,Completed
100103,472,2024-07-20,Marketplace,Returned
100104,250,2025-04-24,Mobile App,Completed
100105,295,2025-09-01,Mobile App,Cancelled
100106,747,2023-12-27,Web,Completed
100107,444,2024-06-12,Mobile App,Completed
100108,1776,2025-12-10,Web,Completed
100109,296,2025-05-04,Web,Completed
100110,1487,2025-01-14,Mobile App,Cancelled
100111,962,2023-12-27,Web,Completed
100112,1506,2023-12-29,Web,Completed
100113,519,2024-01-20,Web,Returned
100114,613,2025-05-09,Web,Completed
100115,1412,2023-01-16,Web,Returned
100116,445,2025-03-01,Mobile App,Returned
100117,1081,2025-06-11,Web,Completed
100118,794,2025-10-06,Mobile App,Completed
100119,885,2023-12-16,Web,Completed
100120,562,2025-07-25,Web,Completed
100121,661,2025-01-10,Marketplace,Completed
100122,1159,2024-12-30,Web,Returned
100123,291,2023-01-18,Web,Completed
100124,510,2025-10-28,Web,Completed
100125,1786,2024-01-31,Mobile App,Returned
100126,940,2025-05-21,Mobile App,Completed
100127,565,2025-03-07,Mobile App,Returned
100128,1896,2024-12-30,Mobile App,Completed
100129,1117,2025-11-11,Mobile App,Completed
100130,88,2025-03-24,Web,Completed
100131,729,2023-10-11,Mobile App,Completed
100132,973,2024-03-14,Mobile App,Completed
100133,1716,2024-03-08,Marketplace,Completed
100134,664,2025-04-01,Web,Cancelled
100135,1125,2025-07-23,Mobile App,Completed
100136,1134,2023-08-12,Web,Completed
100137,309,2024-08-11,Web,Completed
100138,1612,2025-02-16,Marketplace,Completed
100139,1340,2025-02-25,Web,Completed
100140,1042,2025-06-05,Web,Completed
100141,337,2024-01-22,Web,Completed
100142,381,2023-07-20,Web,Completed
100143,440,2024-02-12,Mobile App,Completed
100144,1377,2024-11-16,Mobile App,Completed
100145,1604,2024-08-22,Web,Returned
100146,1208,2025-12-09,Web,Completed
100147,25,2025-11-20,Mobile App,Completed
100148,542,2024-05-21,Marketplace,Completed
100149,1134,2023-12-07,Web,Returned
100150,1431,2025-04-18,Web,Completed
100151,58,2025-09-16,Mobile App,Cancelled
100152,543,2024-06-03,Web,Completed
100153,1077,2025-06-28,Mobile App,Returned
100154,1123,2023-03-15,Mobile App,Returned
100155,114,2023-09-27,Mobile App,Completed
100156,1075,2023-04-04,Web,Completed
100157,43,2023-06-28,Web,Completed
100158,170,2023-01-30,Marketplace,Completed
100159,1853,2023-07-06,Web,Returned
100160,169,2024-03-10,Web,Completed
100161,1050,2025-04-26,Mobile App,Completed
100162,968,2024-11-07,Mobile App,Completed
100163,181,2025-06-29,Mobile App,Completed
100164,891,2024-09-13,Web,Completed
100165,1377,2025-10-20,Mobile App,Completed
100166,270,2023-05-11,Web,Completed
100167,1813,2025-11-10,Mobile App,Returned
100168,1478,2025-07-05,Web,Completed
100169,1502,2024-03-05,Web,Completed
100170,918,2024-10-15,Web,Completed
100171,803,2025-12-01,Web,Completed
100172,1408,2025-08-10,Web,Completed
100173,2000,2024-11-10,Web,Returned
100174,987,2024-09-18,Mobile App,Returned
100175,1520,2023-09-17,Marketplace,Completed
100176,1722,2025-02-11,Mobile App,Cancelled
100177,1393,2025-11-20,Mobile App,Completed
100178,1692,2025-09-01,Mobile App,Completed
100179,494,2025-06-04,Mobile App,Completed
100180,1920,2025-02-21,Web,Cancelled
100181,74,2024-03-30,Marketplace,Completed
100182,1761,2024-01-20,Marketplace,Completed
100183,40,2024-02-08,Web,Completed
100184,84,2025-07-02,Mobile App,Completed
100185,1356,2024-02-28,Mobile App,Returned
100186,322,2023-09-13,Web,Completed
100187,1058,2025-08-20,Marketplace,Completed
100188,709,2025-09-11,Marketplace,Completed
100189,690,2025-11-08,Web,Returned
100190,722,2025-07-15,Mobile App,Completed
100191,1050,2025-12-26,Web,Completed
100192,1907,2025-10-24,Marketplace,Cancelled
100193,222,2024-12-29,Web,Completed
100194,12,2024-06-18,Web,Completed
100195,218,2025-05-10,Mobile App,Completed
100196,744,2024-02-04,Mobile App,Completed
100197,309,2024-11-26,Mobile App,Cancelled
100198,263,2024-05-02,Web,Completed
100199,580,2025-01-30,Web,Completed
100200,1757,2023-12-08,Mobile App,Cancelled
100201,1528,2025-06-02,Marketplace,Completed
100202,868,2023-07-06,Marketplace,Completed
100203,465,2025-02-26,Web,Returned
100204,300,2025-08-21,Mobile App,Returned
100205,557,2023-08-05,Web,Completed
100206,1178,2025-05-04,Mobile App,Completed
100207,1241,2025-11-25,Mobile App,Completed
100208,1536,2025-04-08,Mobile App,Completed
100209,1884,2025-03-02,Web,Cancelled
100210,575,2025-10-06,Marketplace,Completed
100211,1172,2024-04-16,Web,Completed
100212,1207,2024-02-16,Web,Returned
100213,644,2025-04-15,Marketplace,Completed
100214,773,2023-03-11,Web,Completed
100215,1786,2023-04-15,Mobile App,Completed
100216,1884,2024-07-26,Mobile App,Completed
100217,1078,2025-10-09,Web,Completed
100218,1109,2024-06-27,Web,Completed
100219,964,2023-04-18,Mobile App,Returned
100220,109,2023-11-12,Web,Completed
100221,281,2024-08-06,Web,Completed
100222,1706,2023-04-17,Web,Completed
100223,1971,2023-10-16,Mobile App,Completed
100224,849,2023-01-27,Mobile App,Completed
100225,692,2024-01-30,Mobile App,Completed
100226,1791,2025-07-14,Marketplace,Completed
100227,729,2024-01-08,Web,Returned
100228,1997,2023-12-13,Web,Returned
100229,1066,2023-06-19,Web,Completed
100230,966,2023-08-26,Mobile App,Completed
100231,1053,2023-05-14,Web,Completed
100232,1538,2025-09-10,Mobile App,Cancelled
100233,533,2025-07-25,Mobile App,Completed
100234,264,2025-09-21,Mobile App,Completed
100235,1859,2024-08-19,Marketplace,Returned
100236,83,2025-09-15,Mobile App,Completed
100237,1193,2025-03-18,Web,Completed
100238,374,2024-03-20,Web,Completed
100239,720,2024-10-29,Web,Completed
100240,393,2025-02-27,Mobile App,Returned
100241,1053,2025-03-15,Web,Completed
100242,896,2024-02-22,Web,Completed
100243,1381,2023-12-05,Mobile App,Completed
100244,308,2023-07-12,Mobile App,Returned
100245,1344,2024-11-24,Mobile App,Completed
100246,587,2024-09-14,Mobile App,Completed
100247,1073,2025-08-10,Mobile App,Completed
100248,355,2024-11-22,Mobile App,Returned
100249,1893,2024-04-16,Marketplace,Completed
100250,1319,2023-07-31,Mobile App,Completed
100251,1565,2024-10-09,Web,Completed
100252,803,2025-05-12,Marketplace,Returned
100253,1324,2025-10-07,Web,Returned
100254,796,2023-12-21,Web,Cancelled
100255,1062,2025-12-19,Web,Completed
